name,mmsi,imo_number,vessel_type,flag,latitude,longitude,status,speed,course,heading,callsign,destination,eta,length,width,draft
Vessel-368420000,368420000,IMO368420000,Other,US,0.0,0.0,active,0.0,0.00,0,CALL420000,Unknown,2026-02-26 18:01:44.801199+00:00,100.00,20.00,8.00
Vessel-338519831,338519831,IMO338519831,Other,US,0.0,0.0,active,0.0,0.00,0,CALL519831,Unknown,2026-02-26 18:01:44.886343+00:00,100.00,20.00,8.00
Vessel-205227330,205227330,IMO205227330,Other,BE,0.0,0.0,active,0.0,0.00,0,CALL227330,Unknown,2026-02-26 18:01:44.971715+00:00,100.00,20.00,8.00
Vessel-477738500,477738500,IMO477738500,Other,HK,0.0,0.0,active,0.0,0.00,0,CALL738500,Unknown,2026-02-26 18:01:45.082053+00:00,100.00,20.00,8.00
Vessel-413856653,413856653,IMO413856653,Other,CN,0.0,0.0,active,0.0,0.00,0,CALL856653,Unknown,2026-02-26 18:01:45.185499+00:00,100.00,20.00,8.00
Vessel-338455077,338455077,IMO338455077,Other,US,0.0,0.0,active,0.0,0.00,0,CALL455077,Unknown,2026-02-26 18:01:45.292788+00:00,100.00,20.00,8.00
Vessel-338335066,338335066,IMO338335066,Other,US,0.0,0.0,active,0.0,0.00,0,CALL335066,Unknown,2026-02-26 18:01:45.377758+00:00,100.00,20.00,8.00
Vessel-367728850,367728850,IMO367728850,Other,US,0.0,0.0,active,0.0,0.00,0,CALL728850,Unknown,2026-02-26 18:01:45.703335+00:00,100.00,20.00,8.00
Vessel-255916533,255916533,IMO255916533,Other,PT,0.0,0.0,active,0.0,0.00,0,CALL916533,Unknown,2026-02-26 18:01:45.984762+00:00,100.00,20.00,8.00
Vessel-368066450,368066450,IMO368066450,Other,US,0.0,0.0,active,0.0,0.00,0,CALL066450,Unknown,2026-02-26 18:01:46.136648+00:00,100.00,20.00,8.00
Vessel-366991820,366991820,IMO366991820,Other,US,0.0,0.0,active,0.0,0.00,0,CALL991820,Unknown,2026-02-26 18:01:46.240200+00:00,100.00,20.00,8.00
Vessel-601235100,601235100,IMO601235100,Other,ZA,0.0,0.0,active,0.0,0.00,0,CALL235100,Unknown,2026-02-26 18:01:46.338398+00:00,100.00,20.00,8.00
Vessel-338328494,338328494,IMO338328494,Other,US,0.0,0.0,active,0.0,0.00,0,CALL328494,Unknown,2026-02-26 18:01:46.570365+00:00,100.00,20.00,8.00
Vessel-338926432,338926432,IMO338926432,Other,US,0.0,0.0,active,0.0,0.00,0,CALL926432,Unknown,2026-02-26 18:01:46.654381+00:00,100.00,20.00,8.00
Vessel-338397709,338397709,IMO338397709,Other,US,0.0,0.0,active,0.0,0.00,0,CALL397709,Unknown,2026-02-26 18:01:46.823738+00:00,100.00,20.00,8.00
Vessel-339559000,339559000,IMO339559000,Other,JM,0.0,0.0,active,0.0,0.00,0,CALL559000,Unknown,2026-02-26 18:01:46.966410+00:00,100.00,20.00,8.00
Vessel-232057809,232057809,IMO232057809,Other,GB,0.0,0.0,active,0.0,0.00,0,CALL057809,Unknown,2026-02-26 18:01:47.069236+00:00,100.00,20.00,8.00
Vessel-563153900,563153900,IMO563153900,Other,SG,0.0,0.0,active,0.0,0.00,0,CALL153900,Unknown,2026-02-26 18:01:47.345688+00:00,100.00,20.00,8.00
Vessel-338225409,338225409,IMO338225409,Other,US,0.0,0.0,active,0.0,0.00,0,CALL225409,Unknown,2026-02-26 18:01:47.466932+00:00,100.00,20.00,8.00
Vessel-548854000,548854000,IMO548854000,Other,PH,0.0,0.0,active,0.0,0.00,0,CALL854000,Unknown,2026-02-26 18:01:47.578564+00:00,100.00,20.00,8.00
Vessel-338100838,338100838,IMO338100838,Other,US,0.0,0.0,active,0.0,0.00,0,CALL100838,Unknown,2026-02-26 18:01:47.673313+00:00,100.00,20.00,8.00
Vessel-338392681,338392681,IMO338392681,Other,US,0.0,0.0,active,0.0,0.00,0,CALL392681,Unknown,2026-02-26 18:01:47.781948+00:00,100.00,20.00,8.00
Vessel-563079380,563079380,IMO563079380,Other,SG,0.0,0.0,active,0.0,0.00,0,CALL079380,Unknown,2026-02-26 18:01:47.882796+00:00,100.00,20.00,8.00
Vessel-368777000,368777000,IMO368777000,Other,US,0.0,0.0,active,0.0,0.00,0,CALL777000,Unknown,2026-02-26 18:01:47.974034+00:00,100.00,20.00,8.00
Vessel-338087117,338087117,IMO338087117,Other,US,0.0,0.0,active,0.0,0.00,0,CALL087117,Unknown,2026-02-26 18:01:48.066596+00:00,100.00,20.00,8.00
Vessel-352003257,352003257,IMO352003257,Other,PA,0.0,0.0,active,0.0,0.00,0,CALL003257,Unknown,2026-02-26 18:01:48.143974+00:00,100.00,20.00,8.00
Vessel-601000000,601000000,IMO601000000,Other,ZA,0.0,0.0,active,0.0,0.00,0,CALL000000,Unknown,2026-02-26 18:01:48.265686+00:00,100.00,20.00,8.00
Vessel-338132271,338132271,IMO338132271,Other,US,0.0,0.0,active,0.0,0.00,0,CALL132271,Unknown,2026-02-26 18:01:48.347092+00:00,100.00,20.00,8.00
Vessel-338425869,338425869,IMO338425869,Other,US,0.0,0.0,active,0.0,0.00,0,CALL425869,Unknown,2026-02-26 18:01:48.432562+00:00,100.00,20.00,8.00
Vessel-233322000,233322000,IMO233322000,Other,GB,0.0,0.0,active,0.0,0.00,0,CALL322000,Unknown,2026-02-26 18:01:48.529756+00:00,100.00,20.00,8.00
Vessel-563071860,563071860,IMO563071860,Other,SG,0.0,0.0,active,0.0,0.00,0,CALL071860,Unknown,2026-02-26 18:01:48.748847+00:00,100.00,20.00,8.00
Vessel-338098732,338098732,IMO338098732,Other,US,0.0,0.0,active,0.0,0.00,0,CALL098732,Unknown,2026-02-26 18:01:48.887939+00:00,100.00,20.00,8.00
Vessel-375331000,375331000,IMO375331000,Other,VC,0.0,0.0,active,0.0,0.00,0,CALL331000,Unknown,2026-02-26 18:01:49.005693+00:00,100.00,20.00,8.00
Vessel-338424122,338424122,IMO338424122,Other,US,0.0,0.0,active,0.0,0.00,0,CALL424122,Unknown,2026-02-26 18:01:49.101547+00:00,100.00,20.00,8.00
Vessel-338239156,338239156,IMO338239156,Other,US,0.0,0.0,active,0.0,0.00,0,CALL239156,Unknown,2026-02-26 18:01:49.275743+00:00,100.00,20.00,8.00
Vessel-338391033,338391033,IMO338391033,Other,US,0.0,0.0,active,0.0,0.00,0,CALL391033,Unknown,2026-02-26 18:01:49.360317+00:00,100.00,20.00,8.00
Vessel-338126674,338126674,IMO338126674,Other,US,0.0,0.0,active,0.0,0.00,0,CALL126674,Unknown,2026-02-26 18:01:49.434355+00:00,100.00,20.00,8.00
MARINA AMETHYST,563275700,IMO563275700,Other,🇸🇬,1.2426783333333333,103.69230666666667,active,0.0,0.00,0,CALL275700,Unknown,2026-02-26 18:01:49.630236+00:00,100.00,20.00,8.00
PSA SUCCESS,563086590,IMO563086590,Other,🇸🇬,1.2382,103.75097666666667,active,0.0,0.00,0,CALL086590,Unknown,2026-02-26 18:01:49.715284+00:00,100.00,20.00,8.00
KALYMNOS I,636025413,IMO636025413,Other,🇸🇬,1.2767966666666666,103.91811166666666,active,0.0,0.00,0,CALL025413,Unknown,2026-02-26 18:01:49.789481+00:00,100.00,20.00,8.00
LOODSBOOT 7 PILOT,205110000,IMO205110000,Other,🏳️,51.23023,2.928118333333333,active,0.0,0.00,0,CALL110000,Unknown,2026-02-26 18:01:49.874136+00:00,100.00,20.00,8.00
DB LOS ANGELES,367461940,IMO367461940,Other,🇺🇸,33.744728333333335,-118.19867833333333,active,0.0,0.00,0,CALL461940,Unknown,2026-02-26 18:01:50.254279+00:00,100.00,20.00,8.00
Vessel-338421899,338421899,IMO338421899,Other,🇺🇸,33.972855,-118.45183333333333,active,0.0,0.00,0,CALL421899,Unknown,2026-02-26 18:01:50.822534+00:00,100.00,20.00,8.00
ASTERIA LEADER,431024000,IMO431024000,Other,🏳️,1.2126466666666667,103.92680333333332,active,0.0,0.00,0,CALL024000,Unknown,2026-02-26 18:01:51.029181+00:00,100.00,20.00,8.00
ISABEL L,367471080,IMO367471080,Other,🇺🇸,33.728950000000005,-118.27115333333333,active,0.0,0.00,0,CALL471080,Unknown,2026-02-26 18:01:50.558417+00:00,100.00,20.00,8.00
GALE,368242090,IMO368242090,Other,🇺🇸,39.21903333333333,-76.53465,active,0.0,0.00,0,CALL242090,Unknown,2026-02-26 18:01:54.855416+00:00,100.00,20.00,8.00
NEW VITALITY,477231700,IMO477231700,Other,🇺🇸,33.69689,-118.12617,active,0.0,0.00,0,CALL231700,Unknown,2026-02-26 18:01:55.353015+00:00,100.00,20.00,8.00
SEACAT COURAGEOUS,235108711,IMO235108711,Other,🇬🇧,51.73603666666667,1.2892000000000001,active,0.0,0.00,0,CALL108711,Unknown,2026-02-26 18:01:55.559814+00:00,100.00,20.00,8.00
POAVOSA WISDOM VIII,356188000,IMO356188000,Other,🏳️,1.2579866666666668,103.88876833333333,active,0.0,0.00,0,CALL188000,Unknown,2026-02-26 18:01:55.800780+00:00,100.00,20.00,8.00
D11MN-LA-LAGBS1,3669141,IMO3669141,Other,🇺🇸,34.107375000000005,-119.06510499999999,active,0.0,0.00,0,CALL669141,Unknown,2026-02-26 18:01:55.907828+00:00,100.00,20.00,8.00
BANGLAR AGRAGOTI,405000239,IMO405000239,Other,🏳️,-33.90965333333333,18.435695,active,0.0,0.00,0,CALL000239,Unknown,2026-02-26 18:01:56.048610+00:00,100.00,20.00,8.00
Vessel-992051010,992051010,IMO992051010,Other,🏳️,51.557316666666665,2.9083166666666664,active,0.0,0.00,0,CALL051010,Unknown,2026-02-26 18:01:56.245593+00:00,100.00,20.00,8.00
NJORD SNIPE.,235103431,IMO235103431,Other,🇬🇧,51.32967,1.4222,active,0.0,0.00,0,CALL103431,Unknown,2026-02-26 18:01:56.463389+00:00,100.00,20.00,8.00
PRODEO II,338303768,IMO338303768,Other,🇺🇸,39.27634833333333,-76.57997166666668,active,0.0,0.00,0,CALL303768,Unknown,2026-02-26 18:01:56.681216+00:00,100.00,20.00,8.00
GOURMET DINING,477958100,IMO477958100,Other,🇨🇳,22.289438333333333,114.15233666666667,active,0.0,0.00,0,CALL958100,Unknown,2026-02-26 18:01:57.169699+00:00,100.00,20.00,8.00
DURANGO,367014480,IMO367014480,Other,🇺🇸,33.74122666666667,-118.19479333333334,active,0.0,0.00,0,CALL014480,Unknown,2026-02-26 18:01:57.305000+00:00,100.00,20.00,8.00
Vessel-3669144,3669144,IMO3669144,Other,🇺🇸,36.22900666666667,-121.76808666666668,active,0.0,0.00,0,CALL669144,Unknown,2026-02-26 18:01:57.413876+00:00,100.00,20.00,8.00
TUG MERLOT,601056000,IMO601056000,Tug,🏳️,-33.90513833333333,18.421968333333332,active,0.0,0.00,0,CALL056000,Unknown,2026-02-26 18:01:57.598319+00:00,100.00,20.00,8.00
BABE,338193646,IMO338193646,Other,🇺🇸,32.713278333333335,-117.23094999999999,active,0.0,0.00,0,CALL193646,Unknown,2026-02-26 18:01:57.938798+00:00,100.00,20.00,8.00
UNTETHERED,338541105,IMO338541105,Other,🇺🇸,33.980621666666664,-118.455005,active,0.0,0.00,0,CALL541105,Unknown,2026-02-26 18:01:58.057159+00:00,100.00,20.00,8.00
PURUS REDCAR,232059097,IMO232059097,Other,🏳️,51.22978,2.9368333333333334,active,0.0,0.00,0,CALL059097,Unknown,2026-02-26 18:01:58.219967+00:00,100.00,20.00,8.00
Vessel-368117820,368117820,IMO368117820,Other,🇺🇸,33.72045333333333,-118.27684666666667,active,0.0,0.00,0,CALL117820,Unknown,2026-02-26 18:01:58.496721+00:00,100.00,20.00,8.00
Vessel-235107311,235107311,IMO235107311,Other,🏳️,51.86318000000001,1.2593316666666667,active,0.0,0.00,0,CALL107311,Unknown,2026-02-26 18:01:58.651979+00:00,100.00,20.00,8.00
WILHELM,338184312,IMO338184312,Other,🇺🇸,39.059221666666666,-76.48784,active,0.0,0.00,0,CALL184312,Unknown,2026-02-26 18:02:02.077952+00:00,100.00,20.00,8.00
GENESIS VICTORY,338703000,IMO338703000,Other,🇺🇸,39.85028333333333,-75.24965,active,0.0,0.00,0,CALL703000,Unknown,2026-02-26 18:02:06.169592+00:00,100.00,20.00,8.00
CHANG HANG CANG HAI,414028000,IMO414028000,Other,🇸🇬,1.2468716666666666,103.95575000000001,active,0.0,0.00,0,CALL028000,Unknown,2026-02-26 18:02:06.587992+00:00,100.00,20.00,8.00
BAYWATCH19,338118674,IMO338118674,Other,🇺🇸,33.71104666666667,-118.25387833333333,active,0.0,0.00,0,CALL118674,Unknown,2026-02-26 18:02:06.791927+00:00,100.00,20.00,8.00
NIM WAN,477997030,IMO477997030,Other,🇨🇳,22.29741166666667,114.12448333333333,active,0.0,0.00,0,CALL997030,Unknown,2026-02-26 18:02:06.877524+00:00,100.00,20.00,8.00
LUDWANI,601180400,IMO601180400,Other,🏳️,-33.9063,18.42622,active,0.0,0.00,0,CALL180400,Unknown,2026-02-26 18:02:06.971135+00:00,100.00,20.00,8.00
Vessel-993672104,993672104,IMO993672104,Other,🇺🇸,39.35131833333333,-75.436835,active,0.0,0.00,0,CALL672104,Unknown,2026-02-26 18:02:07.105489+00:00,100.00,20.00,8.00
HAI KUN,352004093,IMO352004093,Other,🇨🇳,22.351008333333333,114.11417499999999,active,0.0,0.00,0,CALL004093,Unknown,2026-02-26 18:02:07.280172+00:00,100.00,20.00,8.00
Vessel-367650150,367650150,IMO367650150,Other,🇺🇸,33.71975166666667,-118.27976666666667,active,0.0,0.00,0,CALL650150,Unknown,2026-02-26 18:02:07.486619+00:00,100.00,20.00,8.00
BLEU CARRERA,338194593,IMO338194593,Other,🇺🇸,32.72628833333333,-117.20947833333334,active,0.0,0.00,0,CALL194593,Unknown,2026-02-26 18:02:07.650656+00:00,100.00,20.00,8.00
Vessel-2053506,2053506,IMO2053506,Other,🏳️,51.694785,2.817285,active,0.0,0.00,0,CALL053506,Unknown,2026-02-26 18:02:07.923798+00:00,100.00,20.00,8.00
PRIME MERIDIAN,338316851,IMO338316851,Other,🇺🇸,39.27937166666666,-76.58262500000001,active,0.0,0.00,0,CALL316851,Unknown,2026-02-26 18:02:08.097382+00:00,100.00,20.00,8.00
SARAH DANN,303029000,IMO303029000,Other,🇺🇸,39.88681833333333,-75.17758666666667,active,0.0,0.00,0,CALL029000,Unknown,2026-02-26 18:02:08.209597+00:00,100.00,20.00,8.00
SCHELDE HIGHWAY,355444000,IMO355444000,Other,🏳️,51.38159666666666,2.150978333333333,active,0.0,0.00,0,CALL444000,Unknown,2026-02-26 18:02:08.300499+00:00,100.00,20.00,8.00
INTERBALLAST III,244269000,IMO244269000,Other,🏳️,51.43246833333333,2.984868333333333,active,0.0,0.00,0,CALL269000,Unknown,2026-02-26 18:02:08.440928+00:00,100.00,20.00,8.00
MARITIME ROSEMARY,477332000,IMO477332000,Other,🏳️,1.2863499999999999,103.97231666666667,active,0.0,0.00,0,CALL332000,Unknown,2026-02-26 18:02:02.028223+00:00,100.00,20.00,8.00
LAI WAN,477997036,IMO477997036,Other,🇨🇳,22.30681666666667,114.15218333333334,active,0.0,0.00,0,CALL997036,Unknown,2026-02-26 18:02:16.037921+00:00,100.00,20.00,8.00
BARBARA J MULHOLLAND,367569830,IMO367569830,Other,🇺🇸,33.76362833333334,-118.25700666666667,active,0.0,0.00,0,CALL569830,Unknown,2026-02-26 18:02:16.524972+00:00,100.00,20.00,8.00
XIN XIN 1,667001574,IMO667001574,Other,🏳️,1.1826533333333333,103.6483,active,0.0,0.00,0,CALL001574,Unknown,2026-02-26 18:02:16.661380+00:00,100.00,20.00,8.00
CALUSA,338302266,IMO338302266,Other,🇺🇸,38.968255,-76.47893333333333,active,0.0,0.00,0,CALL302266,Unknown,2026-02-26 18:02:16.846549+00:00,100.00,20.00,8.00
ALAND,249581000,IMO249581000,Other,🏳️,51.33705166666667,2.5636483333333335,active,0.0,0.00,0,CALL581000,Unknown,2026-02-26 18:02:17.020525+00:00,100.00,20.00,8.00
CLIPPER EIRENE,257069560,IMO257069560,Other,🇫🇷,51.436795,2.1517683333333335,active,0.0,0.00,0,CALL069560,Unknown,2026-02-26 18:02:17.429747+00:00,100.00,20.00,8.00
MSC LYON,636024507,IMO636024507,Cargo,🏳️,51.307485,2.3181616666666667,active,0.0,0.00,0,CALL024507,Unknown,2026-02-26 18:02:17.756805+00:00,100.00,20.00,8.00
ESTUARY ELITE,235096547,IMO235096547,Other,🇬🇧,51.32683833333333,1.421645,active,0.0,0.00,0,CALL096547,Unknown,2026-02-26 18:02:17.879355+00:00,100.00,20.00,8.00
ELBE HIGHWAY,311995000,IMO311995000,Other,🏳️,51.36362666666666,2.6490766666666667,active,0.0,0.00,0,CALL995000,Unknown,2026-02-26 18:02:18.019967+00:00,100.00,20.00,8.00
UNFORGETTABLE,368233840,IMO368233840,Other,🇺🇸,38.97334166666667,-76.48246,active,0.0,0.00,0,CALL233840,Unknown,2026-02-26 18:02:18.183227+00:00,100.00,20.00,8.00
Vessel-563081040,563081040,IMO563081040,Other,🇸🇬,1.2231933333333334,103.80391833333333,active,0.0,0.00,0,CALL081040,Unknown,2026-02-26 18:02:18.389905+00:00,100.00,20.00,8.00
FISH LIMO,368111810,IMO368111810,Other,🇺🇸,33.72398666666667,-118.28195666666667,active,0.0,0.00,0,CALL111810,Unknown,2026-02-26 18:02:18.642698+00:00,100.00,20.00,8.00
CONTENDER,367740130,IMO367740130,Other,🇺🇸,32.67182666666667,-117.11812,active,0.0,0.00,0,CALL740130,Unknown,2026-02-26 18:02:18.904242+00:00,100.00,20.00,8.00
MIMOSA,368333740,IMO368333740,Other,🇺🇸,33.975393333333336,-118.45438,active,0.0,0.00,0,CALL333740,Unknown,2026-02-26 18:02:19.233210+00:00,100.00,20.00,8.00
HONESTY,566867000,IMO566867000,Cargo,🇸🇬,1.195735,103.74794666666666,active,0.0,0.00,0,CALL867000,Unknown,2026-02-26 18:02:19.364612+00:00,100.00,20.00,8.00
Vessel-993692036,993692036,IMO993692036,Other,🇺🇸,33.69000333333334,-118.18362499999999,active,0.0,0.00,0,CALL692036,Unknown,2026-02-26 18:02:19.595210+00:00,100.00,20.00,8.00
CABRILLO,367373970,IMO367373970,Other,🇺🇸,32.7,-117.16982333333334,active,0.0,0.00,0,CALL373970,Unknown,2026-02-26 18:02:19.813125+00:00,100.00,20.00,8.00
TWINKLE,563003610,IMO563003610,Other,🇸🇬,1.2681766666666665,103.86503333333333,active,0.0,0.00,0,CALL003610,Unknown,2026-02-26 18:02:20.030535+00:00,100.00,20.00,8.00
ZOWEH,367604470,IMO367604470,Other,🇺🇸,38.974255,-76.48163,active,0.0,0.00,0,CALL604470,Unknown,2026-02-26 18:02:20.160401+00:00,100.00,20.00,8.00
YUE HANG 337,413621850,IMO413621850,Other,🇨🇳,22.34559833333333,114.11308000000001,active,0.0,0.00,0,CALL621850,Unknown,2026-02-26 18:02:20.289943+00:00,100.00,20.00,8.00
MARLIN DUA,563882000,IMO563882000,Other,🇸🇬,1.2609483333333331,103.87723666666668,active,0.0,0.00,0,CALL882000,Unknown,2026-02-26 18:02:20.374360+00:00,100.00,20.00,8.00
CAPRICORN 32,525024349,IMO525024349,Other,🇸🇬,1.261295,103.839275,active,0.0,0.00,0,CALL024349,Unknown,2026-02-26 18:02:20.648165+00:00,100.00,20.00,8.00
ATLANTIC TUNA,601070100,IMO601070100,Other,🏳️,-33.90546,18.44570666666667,active,0.0,0.00,0,CALL070100,Unknown,2026-02-26 18:02:20.755392+00:00,100.00,20.00,8.00
MYGAS,305377000,IMO305377000,Tanker,🏳️,51.51929500000001,2.6899366666666666,active,0.0,0.00,0,CALL377000,Unknown,2026-02-26 18:02:20.841879+00:00,100.00,20.00,8.00
PEARL LILY,563243900,IMO563243900,Other,🇸🇬,1.292715,103.95595833333333,active,0.0,0.00,0,CALL243900,Unknown,2026-02-26 18:02:20.925285+00:00,100.00,20.00,8.00
